2017-12-09 03:03:52,926 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50795 ]
2017-12-09 03:03:53,926 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50796 ] 
2017-12-09 03:03:53,926 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50796 ]
2017-12-09 03:03:53,926 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50796 ] 
2017-12-09 03:03:53,927 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50796 ]
2017-12-09 03:03:54,927 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50797 ] 
2017-12-09 03:03:54,927 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50797 ]
2017-12-09 03:03:54,927 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50797 ] 
2017-12-09 03:03:54,927 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50797 ]
2017-12-09 03:03:55,928 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50798 ] 
2017-12-09 03:03:55,928 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50798 ]
2017-12-09 03:03:55,928 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50798 ] 
2017-12-09 03:03:55,929 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50798 ]
2017-12-09 03:03:56,929 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50799 ] 
2017-12-09 03:03:56,929 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50799 ]
2017-12-09 03:03:56,929 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50799 ] 
2017-12-09 03:03:56,930 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50799 ]
2017-12-09 03:03:57,929 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50800 ] 
2017-12-09 03:03:57,930 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Type:5 Status:24 message:OkHello    [ 192.168.1.41 , 50800 ]
2017-12-09 03:03:57,930 [UdpListener.py  examinePacket  Thread-1 ] [INFO ]  Request ---> Type:5 ,Username:caner ,Message:HELLO    [ 192.168.1.41 , 50800 ] 
